Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,GLOBALEVENTID,SQLDATE,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID
0.0,0.0,0.0,0.0,0.0,1131104865,2023-10-05,,,,,,,,,,,COPGOV,DEPUTY,,,,,,COP,GOV,,0,10,10,1,1,0.0,9,2,9,0.201315070425015,0,,,,,,,1,Spain,SP,SP,40.0,-4.0,SP,1,Spain,SP,SP,40.0,-4.0,SP
1.0,1.0,1.0,1.0,1.0,1131104880,2023-10-05,,,,,,,,,,,CVL,COMMUNITY,,,,,,CVL,,,0,45,45,4,1,5.0,10,1,10,3.7696335078534,0,,,,,,,1,Spain,SP,SP,40.0,-4.0,SP,1,Spain,SP,SP,40.0,-4.0,SP
2.0,2.0,2.0,2.0,2.0,1131104923,2023-10-05,,,,,,,,,,,ESP,SPAIN,ESP,,,,,,,,1,10,10,1,1,0.0,90,24,84,0.770969292186951,0,,,,,,,1,Spain,SP,SP,40.0,-4.0,SP,1,Spain,SP,SP,40.0,-4.0,SP
3.0,3.0,3.0,3.0,3.0,1131104924,2023-10-05,,,,,,,,,,,ESPGOV,SPAIN,ESP,,,,,GOV,,,1,10,10,1,1,0.0,6,3,6,0.13421004695001,0,,,,,,,1,Spain,SP,SP,40.0,-4.0,SP,1,Spain,SP,SP,40.0,-4.0,SP
4.0,4.0,4.0,4.0,4.0,1131105357,2023-10-05,BUS,INVESTOR,,,,,,BUS,,,,,,,,,,,,,1,71,71,7,2,7.4,10,1,10,6.73758865248227,1,Spain,SP,SP,40.0,-4.0,SP,0,,,,,,,1,Spain,SP,SP,40.0,-4.0,SP
5.0,5.0,5.0,5.0,5.0,1131108460,2023-10-05,,,,,,,,,,,AUS,VICTORIA,AUS,,,,,,,,1,112,112,11,3,-2.0,6,1,6,-3.70370370370371,0,,,,,,,1,Spain,SP,SP,40.0,-4.0,SP,1,Spain,SP,SP,40.0,-4.0,SP
6.0,6.0,6.0,6.0,6.0,1131108564,2023-10-05,,,,,,,,,,,ESP,SPAIN,ESP,,,,,,,,1,333,33,3,1,5.2,10,1,10,-1.02272727272728,0,,,,,,,4,"Granada, AndalucíSP, Spain",SP,SP51,37.1784,-3.5992,-384328,1,Ukraine,UP,UP,49.0,32.0,UP
7.0,7.0,7.0,7.0,7.0,1131108565,2023-10-05,,,,,,,,,,,ESP,SPAIN,ESP,,,,,,,,1,51,51,5,1,3.4,22,8,22,1.42736355586627,0,,,,,,,1,Spain,SP,SP,40.0,-4.0,SP,1,Spain,SP,SP,40.0,-4.0,SP
8.0,8.0,8.0,8.0,8.0,1131108572,2023-10-05,,,,,,,,,,,GBR,UNITED KINGDOM,GBR,,,,,,,,1,112,112,11,3,-2.0,6,2,6,-3.90263310185185,0,,,,,,,1,Spain,SP,SP,40.0,-4.0,SP,1,Spain,SP,SP,40.0,-4.0,SP
9.0,9.0,9.0,9.0,9.0,1131108821,2023-10-05,ARE,DUBAI,ARE,,,,,,,,GOV,GOVERNMENT,,,,,,GOV,,,0,46,46,4,1,7.0,1,1,1,3.5230352303523,1,Spain,SP,SP,40.0,-4.0,SP,4,"Dubai, Dubayy, United Arab Emirates",AE,AE03,25.2522,55.28,-782831,1,Spain,SP,SP,40.0,-4.0,SP
10.0,10.0,10.0,10.0,10.0,1131108829,2023-10-05,AUS,VICTORIA,AUS,,,,,,,,,,,,,,,,,,1,10,10,1,1,0.0,10,1,10,-3.70370370370371,1,Spain,SP,SP,40.0,-4.0,SP,0,,,,,,,1,Spain,SP,SP,40.0,-4.0,SP
11.0,11.0,11.0,11.0,11.0,1131108878,2023-10-05,AUT,AUSTRIA,AUT,,,,,,,,DEU,GERMANY,DEU,,,,,,,,0,43,43,4,1,2.8,2,1,2,-4.24746075715605,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,1,Austria,AU,AU,47.333333,13.333333,AU,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625
12.0,12.0,12.0,12.0,12.0,1131108879,2023-10-05,AUT,AUSTRIA,AUT,,,,,,,,DEU,GERMANY,DEU,,,,,,,,0,43,43,4,1,2.8,8,2,8,-4.22410166958232,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,1,Croatia,HR,HR,45.166667,15.5,HR,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625
13.0,13.0,13.0,13.0,13.0,1131108881,2023-10-05,AUT,AUSTRIA,AUT,,,,,,,,ESP,SPAIN,ESP,,,,,,,,0,43,43,4,1,2.8,16,2,16,-4.22410166958232,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625
14.0,14.0,14.0,14.0,14.0,1131108882,2023-10-05,AUT,AUSTRIA,AUT,,,,,,,,ESP,SPAIN,ESP,,,,,,,,0,43,43,4,1,2.8,24,2,24,-4.22410166958232,1,Austria,AU,AU,47.333333,13.333333,AU,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625
15.0,15.0,15.0,15.0,15.0,1131108883,2023-10-05,AUT,AUSTRIA,AUT,,,,,,,,FRA,FRANCE,FRA,,,,,,,,0,43,43,4,1,2.8,8,2,8,-4.22410166958232,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625
16.0,16.0,16.0,16.0,16.0,1131108884,2023-10-05,AUT,AUSTRIA,AUT,,,,,,,,FRA,FRANCE,FRA,,,,,,,,0,43,43,4,1,2.8,8,2,8,-4.22410166958232,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,1,Austria,AU,AU,47.333333,13.333333,AU,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625
17.0,17.0,17.0,17.0,17.0,1131108886,2023-10-05,AUT,AUSTRIA,AUT,,,,,,,,HRV,CROATIA,HRV,,,,,,,,0,43,43,4,1,2.8,8,2,8,-4.22410166958232,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,4,"Paris, France (general), France",FR,FR00,48.8667,2.33333,-1456928,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625
18.0,18.0,18.0,18.0,18.0,1131108887,2023-10-05,AUT,AUSTRIA,AUT,,,,,,,,HRV,CROATIA,HRV,,,,,,,,0,43,43,4,1,2.8,8,2,8,-4.22410166958232,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625
19.0,19.0,19.0,19.0,19.0,1131108912,2023-10-05,BUS,BANK,,,,,,BUS,,,,,,,,,,,,,1,10,10,1,1,0.0,57,7,39,-0.162765594976683,1,Spain,SP,SP,40.0,-4.0,SP,0,,,,,,,1,Spain,SP,SP,40.0,-4.0,SP
20.0,20.0,20.0,20.0,20.0,1131108970,2023-10-05,BUS,COMPANIES,,,,,,BUS,,,,,,,,,,,,,0,120,120,12,3,-4.0,10,1,10,-2.79805352798053,1,Spain,SP,SP,40.0,-4.0,SP,0,,,,,,,1,Spain,SP,SP,40.0,-4.0,SP
21.0,21.0,21.0,21.0,21.0,1131108991,2023-10-05,BUS,BANK,,,,,,BUS,,,ESP,SPAIN,ESP,,,,,,,,0,10,10,1,1,0.0,2,1,2,-3.21027287319422,1,Spain,SP,SP,40.0,-4.0,SP,1,Spain,SP,SP,40.0,-4.0,SP,1,Spain,SP,SP,40.0,-4.0,SP
22.0,22.0,22.0,22.0,22.0,1131109154,2023-10-05,CHN,CHINESE,CHN,,,,,,,,ESP,SPAIN,ESP,,,,,,,,1,10,10,1,1,0.0,5,5,5,3.89312351446603,4,"Huang Qiang, Guangdong, China",CH,CH30,23.1559,115.416,-1910413,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625
23.0,23.0,23.0,23.0,23.0,1131109155,2023-10-05,CHN,CHINESE,CHN,,,,,,,,ESPMED,SPANISH,ESP,,,,,MED,,,1,10,10,1,1,0.0,35,5,35,3.89312351446603,4,"Huang Qiang, Guangdong, China",CH,CH30,23.1559,115.416,-1910413,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625
24.0,24.0,24.0,24.0,24.0,1131109196,2023-10-05,COP,CRIMINAL POLICE,,,,,,COP,,,,,,,,,,,,,0,20,20,2,1,3.0,3,1,3,-0.63829787234043,1,Spain,SP,SP,40.0,-4.0,SP,0,,,,,,,1,Spain,SP,SP,40.0,-4.0,SP
25.0,25.0,25.0,25.0,25.0,1131109255,2023-10-05,COP,CRIMINAL POLICE,,,,,,COP,,,MED,NEWS AGENCY,,,,,,MED,,,0,10,10,1,1,0.0,3,1,3,-0.63829787234043,1,Spain,SP,SP,40.0,-4.0,SP,1,Spain,SP,SP,40.0,-4.0,SP,1,Spain,SP,SP,40.0,-4.0,SP
26.0,26.0,26.0,26.0,26.0,1131109340,2023-10-05,CVL,MIGRANT,,,,,,CVL,,,,,,,,,,,,,1,71,71,7,2,7.4,11,2,11,0.7556906391446,1,Spain,SP,SP,40.0,-4.0,SP,0,,,,,,,1,Spain,SP,SP,40.0,-4.0,SP
